SKU,"ERP Product Ref","Created Date",Status,Message
YT-TY-195-65R15-TY0-CF2,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-TY-195-65R15-TY0-CF2",Failed
YT-TY-185-65R15-TY0-CF2,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-TY-185-65R15-TY0-CF2",Failed
YT-TY-175-70R14-TY0-NE03,N/A,"2021/02/06 10:52: AM","The length of the string is 24, but it must be less than or equal to 20 characters. Value: YT-TY-175-70R14-TY0-NE03",Failed
YT-SM-G1700285ST2L,REF-ITEM000000001959,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800285ST2L,REF-ITEM000000001960,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G2000285SH9L,REF-ITEM000000001961,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600275ST2L,REF-ITEM000000001962,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-F1900275SH3T,REF-ITEM000000001963,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-F2000275SH3T,REF-ITEM000000001964,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-F1900275SH3L,REF-ITEM000000001965,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800265ST2C,REF-ITEM000000001966,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800265ST2C-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800265ST2C-2019",Failed
YT-SM-G1700265ST2L,REF-ITEM000000001967,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600265ST2L,REF-ITEM000000001968,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800265ST2T,REF-ITEM000000001969,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1700265ST1L,REF-ITEM000000001970,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800265ST2L,REF-ITEM000000001971,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800265ST2L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800265ST2L-2019",Failed
YT-SM-F1800265SH3L,REF-ITEM000000001972,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1500255ST2L,REF-ITEM000000001973,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1500255ST2L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1500255ST2L-2019",Failed
YT-SM-F2000255SH3L,REF-ITEM000000001974,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600245ST2L,REF-ITEM000000001975,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600245ST2L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1600245ST2L-2019",Failed
YT-SM-G1700245ST1L,REF-ITEM000000001976,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800245ST1L,REF-ITEM000000001977,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1700245ST3L,REF-ITEM000000001978,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1700245ST3L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1700245ST3L-2019",Failed
YT-SM-F1800245SH3T,REF-ITEM000000001979,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-F1800245SH3T-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-F1800245SH3T-2019",Failed
YT-SM-G1800245ST3L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800245ST3L-2019",Failed
YT-SM-F2000245SH3L,REF-ITEM000000001980,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1500235SC5L,REF-ITEM000000001981,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600235ST1C,REF-ITEM000000001982,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1700235ST1L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1700235ST1L-2019",Failed
YT-SM-G1800235ST1C,REF-ITEM000000001983,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600235ST1L,REF-ITEM000000001984,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800235ST1L,REF-ITEM000000001985,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800235ST3C-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800235ST3C-2019",Failed
YT-SM-G1700235ST3T-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1700235ST3T-2019",Failed
YT-SM-F1800235SH3L,REF-ITEM000000001986,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800235ST3L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800235ST3L-2019",Failed
YT-SM-G1500225SH2L,REF-ITEM000000001987,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1700225ST1C,REF-ITEM000000001988,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1700225ST1T,REF-ITEM000000001989,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600225ST1L,REF-ITEM000000001990,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600225ST3L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1600225ST3L-2019",Failed
YT-SM-G1800225ST3C,REF-ITEM000000001991,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800225ST3C-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800225ST3C-2019",Failed
YT-SM-G1700225ST3T,REF-ITEM000000001992,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800225ST3T,REF-ITEM000000001993,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800225ST3T-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1800225ST3T-2019",Failed
YT-SM-G1700225ST3L,REF-ITEM000000001994,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-F1900225SH3T,REF-ITEM000000001995,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1800225ST3,REF-ITEM000000001996,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600215ST1L,REF-ITEM000000001997,"2021/02/06 10:52: AM",Sucess,Updated
YT-SM-G1600215ST1L-2019,N/A,"2021/02/06 10:52: AM","The length of the string is 23, but it must be less than or equal to 20 characters. Value: YT-SM-G1600215ST1L-2019",Failed
